seller,sales
Mignon,38494.01
Mamie,53269.60
Olwen,23689.80
Orelia,26583.88
Bee,38337.68
Sybille,50066.96
Antonietta,38365.21
Lanae,50918.10
Jany,30776.70
Ernesta,43691.17
Joeann,42993.79
Edith,49049.81
Halette,52010.76
Averyl,41597.47
Margette,37819.99
Meriel,37188.55
Maye,51933.22
Asia,42907.10
Mamie,43920.18
Kaja,47201.88
Katharina,25777.39
Trudie,46259.48
Randa,31976.73
Feliza,45275.39
Charissa,42683.29
Ana,45858.17
Aaren,50233.46
Melanie,49129.18
Tonia,32371.42
Adele,43884.64
Katuscha,51340.25
Gaylene,50153.78
Alia,52474.39
Deirdre,44359.68
Deedee,23274.35
Shirlee,35544.95
Petronia,35162.29
Marleah,45407.05
Bernardine,35863.55
Chrystel,41233.42
Cassandra,49415.66
Mary,54557.23
Goldie,30595.84
Jennica,33290.73
Pamella,36529.46
Amii,42821.33
Berget,27870.78
Karolina,31654.62
Viviene,55774.98
Tressa,33678.04
