seller,sales
Katleen,24914.63
Philis,35072.77
Vanessa,55976.15
Reeba,45599.04
Corene,26380.81
Danny,34706.51
Sue,45890.95
Justinn,52729.98
Beth,31756.93
Ethel,25069.69
Karina,20672.49
Britni,30000.40
Sindee,33189.62
Cacilie,44035.35
Atlanta,48659.62
Gratia,50697.67
Gilligan,22983.84
Sibella,50180.70
Fernande,39407.22
Noelle,52463.77
Annice,24330.28
Minda,48692.47
Giustina,49990.40
Ellette,28394.54
Marline,32171.53
Nickie,43392.56
Pierette,53523.14
Jacquetta,48948.72
Rochette,28491.11
Yvonne,34934.82
Tilly,25032.99
Lorne,49459.73
Amara,22941.05
Luci,43790.43
Heddie,47980.64
Melanie,41488.12
Wilma,21725.36
Ann-Marie,52247.96
Beverley,33702.85
Claudina,43918.95
Jobi,49793.58
Hettie,50187.98
Yetty,27039.61
Dagmar,52621.41
Cassandra,40039.71
Clementine,49941.42
Aaren,30654.05
Hallie,42583.84
Winifred,38323.85
Grier,39530.16
